id,n_tokens,n_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,token0_box,token1_box,axe0_box,axe1_box,response_time_sender,response_time_interpreter
5548,2,2,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3704,4028
5518,2,1,0,2,1,banana,banana,scorpion,0,1,0,NA,5020,6547
5542,1,2,0,2,1,banana,scorpion,banana,0,NA,0,NA,2884,2472
5540,1,2,1,2,1,banana,banana,scorpion,2,NA,1,0,8290,5707
5500,1,2,0,2,1,banana,banana,scorpion,0,NA,0,NA,3401,3434
5497,1,1,1,1,2,scorpion,banana,scorpion,1,NA,1,NA,2207,1991
5501,2,1,1,2,1,banana,banana,scorpion,0,1,0,NA,5098,3863
5553,2,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,1953,2700
5552,1,1,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,2635,3833
5503,2,1,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,2485,3071
5517,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,4098,2627
5444,1,1,1,2,1,scorpion,banana,banana,2,NA,2,NA,14577,2192
5519,2,1,1,2,1,banana,scorpion,banana,0,2,0,NA,5492,4476
5656,2,1,0,1,2,banana,scorpion,scorpion,1,2,2,NA,6418,8777
5652,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,5372,15613
5659,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,3511,5054
5651,1,1,0,2,1,scorpion,banana,banana,1,NA,1,NA,5687,5932
5655,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3489,3242
5654,2,2,1,2,1,banana,banana,scorpion,0,1,0,1,5176,13529
5661,2,1,1,2,1,banana,scorpion,banana,2,NA,2,NA,4490,5076
5612,1,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,5850,3347
5649,1,2,1,2,1,banana,banana,scorpion,2,NA,0,1,7620,6195
5615,2,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,3401,4578
5608,1,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,7613,2190
5632,1,2,0,2,1,banana,banana,scorpion,2,NA,0,1,14806,5542
5610,1,2,0,2,1,banana,banana,scorpion,2,NA,2,NA,9658,4283
5605,1,1,0,2,1,scorpion,banana,banana,2,NA,2,NA,3972,2884
5607,2,1,0,2,1,banana,scorpion,banana,0,NA,0,NA,11675,3959
5600,2,2,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,4440,3734
5611,1,1,0,1,2,scorpion,banana,scorpion,1,NA,1,NA,6484,5256
5614,1,1,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,6802,1993
5603,2,1,1,2,1,banana,scorpion,banana,0,NA,1,NA,6625,4952
5604,2,1,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,4708,3511
5616,2,1,1,2,1,scorpion,banana,banana,1,NA,2,NA,9882,4081
5631,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,10150,3211
5618,1,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,5168,2557
5630,1,2,1,1,2,scorpion,scorpion,banana,2,NA,2,NA,6078,2004
5620,1,2,1,2,1,banana,banana,scorpion,2,NA,2,NA,9103,2535
5627,2,2,0,2,1,scorpion,banana,banana,2,1,2,1,9397,2653
5580,2,1,0,1,2,scorpion,scorpion,banana,2,NA,2,NA,3102,2878
5577,1,2,0,1,2,banana,scorpion,scorpion,0,NA,0,NA,3759,4146
5634,2,2,1,1,2,banana,scorpion,scorpion,0,NA,0,NA,6345,3232
5693,2,2,0,2,1,scorpion,banana,banana,1,2,2,1,5343,10322
5679,2,2,0,2,1,banana,scorpion,banana,2,0,2,0,5130,8692
