id,sender_trial_order,interpreter_trial_order,practice,sender,interpreter,n_tokens,show_tokens,n_axes,show_axes,show_imprints,n_bananas,n_scorpions,box0_content,box1_content,box2_content,box0_open_to_sender,box1_open_to_sender,box2_open_to_sender,box0_open_to_interpreter,box1_open_to_interpreter,box2_open_to_interpreter,imprint0,imprint1,imprint2,token0_x_coord,token0_y_coord,token0_z_coord,token1_x_coord,token1_y_coord,token1_z_coord,token2_x_coord,token2_y_coord,token2_z_coord,token0_box,token1_box,token2_box,axe0_box,axe1_box,axe2_box,response_time_sender,response_time_interpreter,sender_started,interpreter_started,sender_abandoned,interpreter_abandoned,sender_completed,interpreter_completed
5631,48,38,0,001,024,1,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,scorpion,banana,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,10150,3211,2015-06-15 15:08:57.878531,2015-06-18 15:02:46.414248,0,0,2015-06-15 15:09:13.362327,2015-06-18 15:02:54.874953
5618,35,34,0,001,025,1,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,5168,2557,2015-06-15 15:04:50.118188,2015-06-18 15:03:30.312677,0,0,2015-06-15 15:05:00.773355,2015-06-18 15:03:38.158879
5630,47,46,0,001,022,1,1,2,1,1,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,6078,2004,2015-06-15 15:08:42.258417,2015-06-18 15:03:54.261022,0,0,2015-06-15 15:08:53.737945,2015-06-18 15:04:01.057106
5620,37,41,0,001,025,1,1,2,1,1,2,1,banana,banana,scorpion,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,,,,,,,2,,,2,,,9103,2535,2015-06-15 15:05:50.962025,2015-06-18 15:04:58.898362,0,0,2015-06-15 15:06:05.424831,2015-06-18 15:05:06.818424
5627,44,48,0,001,035,2,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,scorpion,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,-259.807621135331,,,,2,1,,2,1,,9397,2653,2015-06-15 15:07:43.425549,2015-06-18 15:05:33.606611,0,0,2015-06-15 15:07:58.443364,2015-06-18 15:05:41.668688
5580,61,56,0,013,027,2,1,1,1,0,1,2,scorpion,scorpion,banana,1,1,1,0,0,0,scorpion,banana,scorpion,300.0,130.0,-7.34788079488412e-14,540.0,10.0,400.0,,,,2,,,2,,,3102,2878,2015-06-15 15:07:25.486061,2015-06-18 15:06:34.683548,0,0,2015-06-15 15:07:33.714325,2015-06-18 15:06:43.065598
5577,58,64,0,013,028,1,1,2,1,0,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,,,,,,,0,,,0,,,3759,4146,2015-06-15 15:06:45.137953,2015-06-18 15:09:37.277742,0,0,2015-06-15 15:06:54.547969,2015-06-18 15:09:46.906722
5634,51,64,0,001,023,2,1,2,1,1,1,2,banana,scorpion,scorpion,1,1,1,0,0,0,scorpion,banana,scorpion,-150.0,130.0,259.807621135332,540.0,10.0,400.0,,,,0,,,0,,,6345,3232,2015-06-15 15:10:06.324404,2015-06-18 15:10:58.309243,0,0,2015-06-15 15:10:18.084073,2015-06-18 15:11:06.593139
5693,46,33,0,006,022,2,1,2,1,0,2,1,scorpion,banana,banana,1,1,1,0,0,0,banana,scorpion,banana,-150.0,130.0,-259.807621135331,300.0,130.0,-7.34788079488412e-14,,,,1,2,,2,1,,5343,10322,2015-06-15 15:05:04.951337,2015-06-18 15:01:05.672055,0,0,2015-06-15 15:05:15.906524,2015-06-18 15:01:21.638191
5679,32,17,0,006,031,2,1,2,1,0,2,1,banana,scorpion,banana,1,1,1,0,0,0,scorpion,banana,banana,300.0,130.0,-7.34788079488412e-14,-150.0,130.0,259.807621135332,,,,2,0,,2,0,,5130,8692,2015-06-15 15:01:37.076440,2015-06-18 14:58:12.637350,0,0,2015-06-15 15:01:47.602297,2015-06-18 14:58:27.039623
